Player,Country,Batting_Style,Bowling_Style
Ranga Sohoni,India,Right-hand bat,"Right-arm medium-fast, Off-break"
Rangana Herath,Sri Lanka,Left-hand bat,Slow left-arm
Rangy Nanan,Trinidad and Tobago,Right-hand bat,Off-break
Ranjan Das,Bangladesh,Right-hand bat,Left-arm fast-medium
Ranjan Gunatilleke,Sri Lanka,Right-hand bat,Right-arm medium
Ranjan Madugalle,Sri Lanka,Right-hand bat,Off-break
Ranji Hordern,Australia,Right-hand bat,Leg-break googly
Ranjit Fernando,Sri Lanka,Right-hand bat,
Ranjith Madurasinghe,Sri Lanka,Left-hand bat,Off-break
Raphick Jumadeen,Trinidad and Tobago,Right-hand bat,Slow left-arm
Raqibul Hasan,Pakistan,Right-hand bat,
Rashid Khan,Afghanistan,Right-hand bat,Leg-break googly
Rashid Khan Sr,Pakistan,Right-hand bat,Right-arm fast-medium
Rashid Latif,Pakistan,Right-hand bat,Leg-break
Rashid Patel,India,Left-hand bat,Left-arm fast-medium
Rashid Zia,Pakistan,Right-hand bat,Off-break
Ravi Bopara,England,Right-hand bat,Right-arm medium
Ravi Rampaul,Trinidad and Tobago,Left-hand bat,Right-arm fast-medium
Ravi Ratnayeke,Sri Lanka,Left-hand bat,Right-arm fast-medium
Ravi Shastri,India,Right-hand bat,Slow left-arm
Ravichandran Ashwin,India,Right-hand bat,Off-break
Ravindra Jadeja,India,Left-hand bat,Slow left-arm
Ravindra Pushpakumara,Sri Lanka,Right-hand bat,Right-arm fast-medium
Ravindu Shah,Kenya,Right-hand bat,Right-arm medium-fast
Rawl Lewis,Grenada,Right-hand bat,Leg-break googly
Ray Bright,Australia,Right-hand bat,Slow left-arm
Ray Emery,New Zealand,Right-hand bat,Right-arm medium
Ray Illingworth,England,Right-hand bat,Off-break
Ray Lindwall,Australia,Right-hand bat,Right-arm fast
Ray Price,Zimbabwe,Right-hand bat,Slow left-arm
Ray Robinson,Australia,Right-hand bat,Leg-break googly
Rayad Emrit,Trinidad and Tobago,Right-hand bat,Right-arm fast-medium
Rayyan Pathan,Canada,Right-hand bat,Right-arm fast-medium
Raza Hasan,Pakistan,Right-hand bat,Slow left-arm
Raza-ur-Rehman,Pakistan,Right-hand bat,Left-arm medium-fast
Reece Young,New Zealand,Right-hand bat,
Reetinder Singh Sodhi,India,Right-hand bat,Right-arm medium
Reg Perks,England,Left-hand bat,Right-arm fast-medium
Reg Scarlett,Jamaica,Right-hand bat,Off-break
Reg Simpson,England,Right-hand bat,Off-break
Reg Sinfield,England,Right-hand bat,"Right-arm fast-medium, Off-break"
Regan West,New Zealand,Left-hand bat,"Slow left-arm, Left-arm fast-medium"
Reggie Duff,Australia,Right-hand bat,Right-arm medium
Reggie Schwarz,England,Right-hand bat,"Right-arm medium, Off-break"
Reggie Spooner,England,Right-hand bat,Right-arm slow
Reginald Allen,Australia,Right-hand bat,Right-arm fast-medium
Reginald Foster,England,Right-hand bat,Right-arm fast
Reginald Hands,South Africa,Right-hand bat,
Reginald Wood,England,Left-hand bat,Left-arm medium
Regis Chakabva,Zimbabwe,Right-hand bat,Off-break
Reinhardt Strydom,South Africa,Left-hand bat,Left-arm medium-fast
Reinout Scholte,Netherlands,Right-hand bat,
Reon King,Guyana,Right-hand bat,Right-arm fast-medium
Rex Sellers,India,Right-hand bat,Leg-break googly
Riaan Walters,Namibia,Right-hand bat,
Riaz Afridi,Pakistan,Right-hand bat,Right-arm medium-fast
Riaz Poonawala,India,Right-hand bat,Off-break
Ricardo Powell,Jamaica,Right-hand bat,Off-break
Richard Austin,Jamaica,Right-hand bat,"Right-arm medium, Off-break"
Richard Blakey,England,Right-hand bat,
Richard Collinge,New Zealand,Right-hand bat,Left-arm medium-fast
Richard Dawson,England,Right-hand bat,Off-break
Richard de Groen,New Zealand,Right-hand bat,Right-arm fast-medium
Richard Dumbrill,England,Right-hand bat,Right-arm medium
Richard Edwards,Barbados,Right-hand bat,Right-arm fast
Richard Ellison,England,Left-hand bat,Right-arm medium-fast
Richard Gabriel,Trinidad and Tobago,Right-hand bat,Off-break
Richard Hadlee,New Zealand,Left-hand bat,Right-arm fast
Richard Hutton,England,Right-hand bat,Right-arm fast-medium
Richard Illingworth,England,Right-hand bat,Slow left-arm
Richard Johnson,England,Right-hand bat,Right-arm fast-medium
Richard Jones,New Zealand,Right-hand bat,
Richard Levi,South Africa,Right-hand bat,Right-arm medium
Richard Petrie,New Zealand,Right-hand bat,Right-arm fast-medium
Richard Ramdeen,Guyana,Right-hand bat,Slow left-arm
Richard Reid,New Zealand,Right-hand bat,Off-break
Richard Sims,Zimbabwe,Right-hand bat,Off-break
Richard Snell,South Africa,Right-hand bat,Right-arm fast-medium
Richard Staple,Jamaica,Right-hand bat,Off-break
Richard Webb,New Zealand,Right-hand bat,Right-arm fast-medium
Richie Benaud,Australia,Right-hand bat,Leg-break googly
Richie Berrington,South Africa,Right-hand bat,Right-arm medium-fast
Richie Richardson,Antigua and barbuda,Right-hand bat,Right-arm medium
Richie Robinson,Australia,Right-hand bat,
Richmond Mutumbami,Zimbabwe,Right-hand bat,Off-break
Rick Darling,Australia,Right-hand bat,
Rick McCosker,Australia,Right-hand bat,Leg-break
Ricky Ponting,Australia,Right-hand bat,"Off-break, Right-arm medium"
Ridley Jacobs,Antigua and barbuda,Left-hand bat,
Rikki Clarke,England,Right-hand bat,Right-arm fast-medium
Rizwan Ahmed,Pakistan,Right-hand bat,Leg-break googly
Rizwan Cheema,Pakistan,Right-hand bat,Right-arm slow-medium
Rizwan Latif,Pakistan,Right-hand bat,Slow left-arm
Rizwan-uz-Zaman,Pakistan,Right-hand bat,Leg-break googly
Rob Bailey,England,Right-hand bat,Off-break
Rob Nicol,New Zealand,Right-hand bat,"Off-break, Right-arm medium"
Robbie Hart,New Zealand,Right-hand bat,
Robbie Kerr,Australia,Right-hand bat,Leg-break googly
Robert Anderson,New Zealand,Right-hand bat,Leg-break
Robert Callender,Barbados,Right-hand bat,Right-arm medium-fast
Robert Christiani,Guyana,Right-hand bat,Off-break
Robert Croft,Wales,Right-hand bat,Off-break
Robert Dower,South Africa,Right-hand bat,
Robert Gleeson,South Africa,Right-hand bat,Right-arm medium
Robert Graham,South Africa,Right-hand bat,Right-arm medium
Robert Harvey,South Africa,Right-hand bat,Right-arm medium
Robert Haynes,Jamaica,Left-hand bat,Leg-break googly
Robert Kennedy,New Zealand,Right-hand bat,Right-arm medium
Robert Key,England,Right-hand bat,Right-arm medium
Robert Poore,Ireland,Right-hand bat,Right-arm slow
Robert Quiney,Australia,Left-hand bat,Right-arm medium
Robert Samuels,Jamaica,Left-hand bat,
Robert Stewart,India,Right-hand bat,
Robert Taylor,England,Left-hand bat,Left-arm medium
Robert van Oosterom,Netherlands,Right-hand bat,
Robert Vance,New Zealand,Right-hand bat,Off-break
Robin Brown,Zimbabwe,Right-hand bat,Right-arm medium
Robin Bynoe,Barbados,Right-hand bat,Slow left-arm
Robin Hobbs,England,Right-hand bat,Leg-break googly
Robin Jackman,India,Right-hand bat,Right-arm fast-medium
Robin Martin-Jenkins,England,Right-hand bat,Right-arm fast-medium
Robin Peterson,South Africa,Left-hand bat,Slow left-arm
Robin Singh,India,Right-hand bat,Right-arm fast-medium
Robin Singh Sr,Trinidad and Tobago,Left-hand bat,Right-arm medium
Robin Smith,South Africa,Right-hand bat,Leg-break
Robin Uthappa,India,Right-hand bat,Right-arm medium
Robiul Islam,Bangladesh,Right-hand bat,Right-arm fast-medium
Rockley Wilson,England,Right-hand bat,Right-arm slow
Rod Latham,New Zealand,Right-hand bat,Right-arm medium
Rod Marsh,Australia,Left-hand bat,Off-break
Rod McCurdy,Australia,Right-hand bat,Right-arm fast-medium
Rodney Hogg,Australia,Right-hand bat,Right-arm fast
Rodney Redmond,New Zealand,Left-hand bat,Slow left-arm
Rodney Trott,Bermuda,Right-hand bat,Off-break
Roelof van der Merwe,South Africa,Right-hand bat,Slow left-arm
Roger Binny,India,Right-hand bat,Right-arm medium
Roger Blunt,England,Right-hand bat,Leg-break
Roger Harper,Guyana,Right-hand bat,Off-break
Roger Harris,New Zealand,Right-hand bat,Right-arm medium
Roger Hartigan,Australia,Right-hand bat,Right-arm
Roger Prideaux,England,Right-hand bat,Right-arm medium
Roger Telemachus,South Africa,Right-hand bat,Right-arm fast-medium
Roger Tolchard,England,Right-hand bat,Off-break
Roger Twose,England,Left-hand bat,Right-arm medium
Roger Whelan,Ireland,Right-hand bat,Right-arm fast-medium
Roger Wijesuriya,Sri Lanka,Right-hand bat,Slow left-arm
Roger Woolley,Australia,Right-hand bat,
Rohan Alexander,Jamaica,Left-hand bat,Off-break
Rohan Gavaskar,India,Left-hand bat,Slow left-arm
Rohan Jayasekera,Sri Lanka,Right-hand bat,
Rohan Kanhai,Guyana,Right-hand bat,Right-arm medium
Rohan Mustafa,Pakistan,Left-hand bat,Off-break
Rohit Sharma,India,Right-hand bat,Off-break
Roland Butcher,Barbados,Right-hand bat,Right-arm medium
Roland Holder,Trinidad and Tobago,Right-hand bat,Right-arm medium
Roland Lefebvre,Netherlands,Right-hand bat,Right-arm medium
Roland Pope,Australia,Right-hand bat,Right-arm slow underarm
Rolland Beaumont,South Africa,Right-hand bat,Right-arm
Rolph Grant,Trinidad and Tobago,Right-hand bat,Off-break
Roly Jenkins,England,Right-hand bat,Leg-break googly
Romesh Kaluwitharana,Sri Lanka,Right-hand bat,
Ron Archer,Australia,Right-hand bat,Right-arm fast
Ron Gaunt,Australia,Left-hand bat,Right-arm fast
Ron Hamence,Australia,Right-hand bat,Right-arm medium
Ron Hart,New Zealand,Right-hand bat,Off-break
Ron Headley,Jamaica,Left-hand bat,Leg-break
Ron Oxenham,Australia,Right-hand bat,Right-arm medium
Ron Saggers,Australia,Right-hand bat,
Ronald Draper,South Africa,Right-hand bat,
Ronald Stanyforth,England,Right-hand bat,
Ronnie Grieveson,South Africa,Right-hand bat,
Ronnie Hira,New Zealand,Left-hand bat,Slow left-arm
Ronnie Irani,England,Right-hand bat,Right-arm medium
Rory Hamilton-Brown,England,Right-hand bat,Off-break
Rory Kleinveldt,South Africa,Right-hand bat,Right-arm medium-fast
Rory McCann,Ireland,Right-hand bat,
Roshan Guneratne,Sri Lanka,Right-hand bat,Leg-break
Roshan Jurangpathy,Sri Lanka,Right-hand bat,Off-break
Roshan Mahanama,Sri Lanka,Right-hand bat,
Ross Duncan,Australia,Right-hand bat,Right-arm fast-medium
Ross Edwards,Australia,Right-hand bat,
Ross Gregory,Australia,Right-hand bat,Leg-break
Ross Lyons,Scotland,Left-hand bat,Slow left-arm
Ross Morgan,New Zealand,Right-hand bat,Off-break
Ross Taylor,New Zealand,Right-hand bat,Off-break
Roy Dias,Sri Lanka,Right-hand bat,Off-break
Roy Fredericks,Guyana,Left-hand bat,Chinaman
Roy Gilchrist,Jamaica,Right-hand bat,Right-arm fast
Roy Harford,England,Left-hand bat,
Roy Kilner,England,Left-hand bat,Slow left-arm
Roy Lamsam,Hong Kong,Right-hand bat,Right-arm medium
Roy Marshall,Barbados,Right-hand bat,Off-break
Roy McLean,South Africa,Right-hand bat,Right-arm slow
Roy Miller,Jamaica,Right-hand bat,Right-arm fast-medium
Roy Minnett,Australia,Right-hand bat,Right-arm fast-medium
Roy Park,Australia,Right-hand bat,
Roy Scott,New Zealand,Right-hand bat,Right-arm medium
Roy Swetman,England,Right-hand bat,Off-break
Roy Tattersall,England,Left-hand bat,Off-break
Roydon Hayes,New Zealand,Right-hand bat,Right-arm fast
Royston Crandon,Guyana,Right-hand bat,Off-break
Rubel Hossain,Bangladesh,Right-hand bat,Right-arm medium-fast
Ruchira Perera,Sri Lanka,Left-hand bat,Left-arm medium-fast
Rudi Bryson,South Africa,Right-hand bat,Right-arm fast-medium
Rudi Steyn,South Africa,Right-hand bat,Right-arm medium
Rudi van Vuuren,Namibia,Right-hand bat,Right-arm fast-medium
Rumesh Ratnayake,Sri Lanka,Right-hand bat,"Right-arm fast-medium, Leg-break"
Runako Morton,St Kitts and Nevis,Right-hand bat,Off-break
Runish Gudhka,Kenya,Right-hand bat,Off-break
Rusi Modi,India,Right-hand bat,Right-arm medium
Rusi Surti,India,Left-hand bat,Left-arm medium
Russel Arnold,Sri Lanka,Left-hand bat,Off-break
Russell Endean,South Africa,Right-hand bat,
Rustam Bhatti,Pakistan,Right-hand bat,Off-break
Rustomji Jamshedji,India,Right-hand bat,Slow left-arm
Ruud Nijman,Netherlands,Right-hand bat,Right-arm medium-fast
Ruvindu Gunasekera,Sri Lanka,Left-hand bat,Leg-break googly
Ruwan Kalpage,Sri Lanka,Left-hand bat,Off-break
Ryan Austin,Trinidad and Tobago,Right-hand bat,Off-break
Ryan Campbell,Australia,Right-hand bat,Off-break
Ryan Carters,Australia,Right-hand bat,
Ryan Flannigan,Scotland,Right-hand bat,Right-arm medium
Ryan Haire,Ireland,Left-hand bat,Leg-break
Ryan Harris,Australia,Right-hand bat,Right-arm fast-medium
Ryan Higgins,Zimbabwe,Right-hand bat,Leg-break googly
Ryan Hinds,Barbados,Left-hand bat,Slow left-arm
Ryan Hurley,Barbados,Right-hand bat,Off-break
Ryan McLaren,South Africa,Left-hand bat,Right-arm medium-fast
Ryan Ramdass,Guyana,,
Ryan Sidebottom,England,Left-hand bat,Left-arm fast-medium
Ryan Steede,Bermuda,Right-hand bat,Right-arm fast-medium
Ryan ten Doeschate,South Africa,Right-hand bat,Right-arm medium-fast
Ryan Watson,Zimbabwe,Right-hand bat,Right-arm medium
S Badrinath,India,Right-hand bat,Off-break
S Sreesanth,India,Right-hand bat,Right-arm fast-medium
Saadat Ali,Pakistan,Right-hand bat,Off-break
Saba Karim,India,Right-hand bat,
Sabbir Rahman,Bangladesh,Right-hand bat,Leg-break
Sachin Tendulkar,India,Right-hand bat,"Right-arm medium, Off-break, Leg-break"
Sachithra Senanayake,Sri Lanka,Right-hand bat,Off-break
Sadagoppan Ramesh,India,Left-hand bat,Off-break
Sadanand Viswanath,India,Right-hand bat,
Sadashiv Patil,India,Right-hand bat,Right-arm fast-medium
Sadiq Mohammad,India,Left-hand bat,Leg-break googly
Sadu Shinde,India,Right-hand bat,Leg-break googly
Saeed Ahmed,India,Right-hand bat,Off-break
Saeed Ajmal,Pakistan,Right-hand bat,Off-break
Saeed Anwar,Pakistan,Left-hand bat,Slow left-arm
Saeed Azad,Pakistan,Right-hand bat,Right-arm medium
Saeed-al-Saffar,United Arab Emirates,Right-hand bat,Left-arm medium-fast
Safyaan Sharif,England,Right-hand bat,Right-arm fast-medium
Sagar Pun,Nepal,Right-hand bat,Off-break
Saiful Islam,Pakistan,Right-hand bat,Right-arm medium
Sailor Young,England,Right-hand bat,Left-arm medium
Sairaj Bahutule,India,Left-hand bat,Leg-break
Sajeewa de Silva,Sri Lanka,Left-hand bat,Left-arm fast-medium
Sajeewa Weerakoon,Sri Lanka,Left-hand bat,Slow left-arm
Sajid Ali,Pakistan,Right-hand bat,Right-arm medium
Sajid Mahmood,England,Right-hand bat,Right-arm fast-medium
Sajidul Islam,Bangladesh,Right-hand bat,Left-arm medium-fast
Sajjad Ahmed,Bangladesh,Right-hand bat,Off-break
Sajjad Akbar,Pakistan,Right-hand bat,Off-break
Salahuddin,India,Right-hand bat,Off-break
Salahuddin Ahmed,Pakistan,Right-hand bat,Off-break
Saleem Altaf,India,Right-hand bat,Right-arm fast-medium
Saleem Elahi,Pakistan,Right-hand bat,Off-break
Saleem Jaffar,Pakistan,Right-hand bat,Left-arm fast-medium
Saleem Malik,Pakistan,Right-hand bat,"Right-arm medium, Leg-break"
Saleem Mukuddem,South Africa,Right-hand bat,Right-arm medium
Saleem Pervez,India,Right-hand bat,Right-arm medium-fast
Saleem Raza,Pakistan,Right-hand bat,Off-break
Saleem Yousuf,Pakistan,Right-hand bat,
Salil Ankola,India,Right-hand bat,Right-arm medium-fast
Salim Durani,Afghanistan,Left-hand bat,Slow left-arm
Saliya Ahangama,Sri Lanka,Left-hand bat,Right-arm medium
Salman Butt,Pakistan,Left-hand bat,Off-break
Salman Faris,Sri Lanka,Left-hand bat,Leg-break
Sam Cook,England,Right-hand bat,Slow left-arm
Sam Gannon,Australia,Right-hand bat,Left-arm fast-medium
Sam Guillen,Trinidad and Tobago,Right-hand bat,
Sam Loxton,Australia,Right-hand bat,Right-arm fast-medium
Sam Morris,Australia,Right-hand bat,Right-arm medium
Sam Robson,Australia,Right-hand bat,Leg-break
Sam Staples,England,Right-hand bat,Off-break
Sam Walusimbi,Uganda,Right-hand bat,Left-arm medium
Sam Wells,New Zealand,Left-hand bat,Right-arm medium
Saman Jayantha,Sri Lanka,Right-hand bat,Off-break
Sameer Dighe,India,Right-hand bat,
Sameer Zia,Pakistan,Right-hand bat,
Sami Faridi,Saudi Arabia,Left-hand bat,Chinaman
Samit Patel,England,Right-hand bat,Slow left-arm
Samiullah Khan,Pakistan,Right-hand bat,Left-arm medium-fast
Samiullah Shenwari,Afghanistan,Right-hand bat,Leg-break
Samiur Rahman,Pakistan,Right-hand bat,Right-arm fast-medium
Sammy Carter,England,Right-hand bat,
Sammy Jones,Australia,Right-hand bat,Right-arm fast-medium
Sammy Woods,Australia,Right-hand bat,Right-arm fast-medium
Samuel Badree,Trinidad and Tobago,Right-hand bat,Leg-break
Sanath Jayasuriya,Sri Lanka,Left-hand bat,Slow left-arm
Sanath Kaluperuma,Sri Lanka,Right-hand bat,Off-break
Sandeep Gupta,Kenya,Right-hand bat,
Sandeep Jyoti,India,Right-hand bat,Off-break
Sandeep Patil,India,Right-hand bat,Right-arm medium
Sandeep Sharma,India,Right-hand bat,Right-arm fast-medium
Sandford Schultz,England,Right-hand bat,Right-arm fast roundarm
Sandy Bell,South Africa,Right-hand bat,Right-arm fast-medium
Sanjay Bangar,India,Right-hand bat,Right-arm medium
Sanjay Manjrekar,India,Right-hand bat,Off-break
Sanjay Raul,India,Right-hand bat,Off-break
Sanjayan Thuraisingam,Sri Lanka,Right-hand bat,Right-arm fast-medium
Sanjeev Sharma,India,Right-hand bat,Right-arm medium
Sanjeeva Ranatunga,Sri Lanka,Left-hand bat,Off-break
Sanjeewa Weerasinghe,Sri Lanka,Right-hand bat,Leg-break googly
Sanju Samson,India,Right-hand bat,Off-break
Sanwar Hossain,Bangladesh,Right-hand bat,Off-break
Saqib Ali,Pakistan,Right-hand bat,Off-break
Saqlain Haider,Pakistan,Left-hand bat,
Saqlain Mushtaq,Pakistan,Right-hand bat,Off-break
Saradindu Mukherjee,India,Right-hand bat,Off-break
Sarandeep Singh,India,Right-hand bat,Off-break
Sarel Burger,Namibia,Right-hand bat,Right-arm medium-fast
Sarfraz Nawaz,Pakistan,Right-hand bat,Right-arm fast-medium
Saurabh Tiwary,India,Left-hand bat,Off-break
Schofield Haigh,England,Right-hand bat,Right-arm fast-medium
Scotch Taylor,South Africa,Right-hand bat,Leg-break
Scott Borthwick,England,Left-hand bat,Leg-break
Scott Muller,Australia,Right-hand bat,Right-arm fast-medium
Scott Styris,Australia,Right-hand bat,Right-arm fast-medium
Sean Abbott,Australia,Right-hand bat,Right-arm medium-fast
Sean Davies,Zimbabwe,Left-hand bat,Right-arm medium-fast
Sean Ervine,Zimbabwe,Left-hand bat,Right-arm medium
Sean Williams,Zimbabwe,Left-hand bat,Slow left-arm
Seekkuge Prasanna,Sri Lanka,Right-hand bat,Leg-break
Sep Kinneir,England,Left-hand bat,Right-arm medium
Seren Waters,Kenya,Right-hand bat,Leg-break
Seth Rance,New Zealand,Right-hand bat,Right-arm medium
Sew Shivnarine,Guyana,Right-hand bat,Slow left-arm
Sewnarine Chattergoon,Guyana,Left-hand bat,Leg-break
Seymour Nurse,Barbados,Right-hand bat,Off-break
Shabbir Ahmed,Pakistan,Right-hand bat,Right-arm fast-medium
Shabir Noori,Afghanistan,Right-hand bat,Off-break
Shadab Kabir,Pakistan,Left-hand bat,Off-break
Shadeep Silva,Sri Lanka,Left-hand bat,Slow left-arm
Shafiek Abrahams,South Africa,Right-hand bat,Off-break
Shafiq Ahmed,Pakistan,Right-hand bat,Right-arm medium
Shafiqullah Shinwari,Afghanistan,Right-hand bat,
Shafiuddin Ahmed,Bangladesh,Right-hand bat,Right-arm fast-medium
Shafiul Islam,Bangladesh,Right-hand bat,Right-arm fast-medium
Shafqat Rana,India,Right-hand bat,Right-arm medium
Shah Nyalchand,India,Left-hand bat,Left-arm medium
Shahadat Hossain,Bangladesh,Right-hand bat,Right-arm fast-medium
Shaheed Keshvani,Canada,Right-hand bat,Off-break
Shaheedur Rahman,Pakistan,Right-hand bat,
Shahid Afridi,Pakistan,Right-hand bat,Leg-break googly
Shahid Anwar,Pakistan,Right-hand bat,Right-arm medium
Shahid Israr,India,Right-hand bat,
Shahid Mahboob,Pakistan,Right-hand bat,Right-arm fast-medium
Shahid Mahmood,India,Left-hand bat,Left-arm medium
Shahid Nazir,Pakistan,Right-hand bat,Right-arm fast-medium
Shahid Saeed,Pakistan,Right-hand bat,Right-arm medium
Shahriar Hossain,Bangladesh,Right-hand bat,
Shahriar Nafees,Bangladesh,Left-hand bat,Slow left-arm
Shahzad Altaf,Pakistan,Right-hand bat,Right-arm medium
Shahzad Khan,Pakistan,Right-hand bat,Right-arm fast-medium
Shahzaib Hasan,Pakistan,Right-hand bat,Off-break
Shaiman Anwar,Pakistan,Right-hand bat,Right-arm fast-medium
Shakeel Ahmed jnr,Pakistan,Right-hand bat,Off-break
Shakeel Ansar,Pakistan,Right-hand bat,
Shakeel Khan,Pakistan,Right-hand bat,Right-arm fast-medium
Shakib Al Hasan,Bangladesh,Left-hand bat,Slow left-arm
Shakti Gauchan,Nepal,Right-hand bat,Leg-break
Shaminda Eranga,Sri Lanka,Right-hand bat,Right-arm medium-fast
Shamsur Rahman,Bangladesh,Right-hand bat,Right-arm medium
Shan Masood,Kuwait,Left-hand bat,Right-arm medium-fast
Shanan Stewart,New Zealand,Right-hand bat,Right-arm medium
Shane Bond,New Zealand,Right-hand bat,Right-arm fast
Shane Harwood,Australia,Right-hand bat,Right-arm fast-medium
Shane Lee,Australia,Right-hand bat,Right-arm medium
Shane Shillingford,Dominica,Right-hand bat,Off-break
Shane Thomson,New Zealand,Right-hand bat,"Right-arm fast-medium, Off-break"
Shane Warne,Australia,Right-hand bat,Leg-break googly
Shane Watson,Australia,Right-hand bat,Right-arm medium-fast
Shannon Gabriel,Trinidad and Tobago,Right-hand bat,Right-arm fast
Shantha Kalavitigoda,Sri Lanka,Right-hand bat,Leg-break
Shapoor Zadran,Afghanistan,Left-hand bat,Left-arm fast-medium
Sharad Vesawkar,United Arab Emirates,Right-hand bat,Right-arm medium
Sharif Asadullah,Pakistan,Right-hand bat,Right-arm fast-medium
Shariful Haque,Bangladesh,Right-hand bat,Off-break
Sharjeel Khan,Pakistan,Left-hand bat,Leg-break
Shaukat Dukanwala,India,Right-hand bat,Off-break
Shaul Karnain,Sri Lanka,Right-hand bat,Right-arm medium
Shaun Graf,Australia,Right-hand bat,Right-arm fast-medium
Shaun Marsh,Australia,Left-hand bat,Slow left-arm
Shaun Pollock,South Africa,Right-hand bat,Right-arm fast-medium
Shaun Tait,Australia,Right-hand bat,Right-arm fast
Shaun Udal,England,Right-hand bat,Off-break
Shaun Young,Australia,Left-hand bat,Right-arm fast-medium
Shawn Findlay,Jamaica,Left-hand bat,Right-arm fast-medium
Shayne O'Connor,New Zealand,Left-hand bat,Left-arm fast-medium
Sheldon Cottrell,Jamaica,Right-hand bat,Left-arm fast-medium
Shem Ngoche,Kenya,Right-hand bat,Slow left-arm
Sher Lama,Hong Kong,Right-hand bat,Right-arm medium
Sherwin Campbell,Barbados,Right-hand bat,Right-arm medium
Sherwin Ganga,Trinidad and Tobago,Left-hand bat,Off-break
Shikhar Dhawan,India,Left-hand bat,Off-break
Shingirai Masakadza,Zimbabwe,Right-hand bat,Right-arm fast-medium
Shiraz Sumar,Tanzania,Right-hand bat,
Shiv Sunder Das,India,Right-hand bat,Right-arm medium
Shivlal Yadav,India,Right-hand bat,Off-break
Shivnarine Chanderpaul,Guyana,Left-hand bat,Leg-break
Shoaib Akhtar,Pakistan,Right-hand bat,Right-arm fast
Shoaib Khan,Pakistan,Left-hand bat,Right-arm medium-fast
Shoaib Malik,Pakistan,Right-hand bat,Off-break
Shoaib Mohammad,Pakistan,Right-hand bat,Off-break
Shrimp Leveson Gower,England,Right-hand bat,Leg-break
Shujauddin Butt,India,Right-hand bat,Slow left-arm
Shunter Coen,South Africa,Right-hand bat,Right-arm
Shute Banerjee,India,Right-hand bat,Right-arm fast-medium
Shuvagata Hom,Bangladesh,Right-hand bat,Off-break
Sid Barnes,Australia,Right-hand bat,Leg-break
Sid Emery,Australia,Right-hand bat,Leg-break googly
Sid O'Linn,South Africa,Left-hand bat,Leg-break
Sid Pegler,South Africa,Right-hand bat,"Right-arm medium, Leg-break"
Sidath Wettimuny,Sri Lanka,Right-hand bat,Right-arm medium
Sikandar Raza,Pakistan,Right-hand bat,Off-break
Sikander Bakht,Pakistan,Right-hand bat,Right-arm medium-fast
Simon Brown,England,Right-hand bat,Left-arm medium-fast
Simon Cook,Australia,Left-hand bat,Right-arm fast-medium
Simon Davis,Australia,Right-hand bat,Right-arm fast-medium
Simon Doull,New Zealand,Right-hand bat,Right-arm medium
Simon Jones,Wales,Left-hand bat,Right-arm fast
Simon Katich,Australia,Left-hand bat,Chinaman
Simon Kerrigan,England,Right-hand bat,Slow left-arm
Simon O'Donnell,Australia,Right-hand bat,Right-arm fast-medium
Simon Smith,England,Right-hand bat,
Sivert Samuelson,South Africa,Right-hand bat,"Right-arm medium, Off-break"
Skhawat Ali,Hong Kong,Right-hand bat,Right-arm medium
Snuffy Browne,Barbados,Right-hand bat,Right-arm medium
Sohag Gazi,Bangladesh,Right-hand bat,Off-break
Sohaib Maqsood,Pakistan,Right-hand bat,Off-break
Sohail Butt,Pakistan,Right-hand bat,Right-arm fast-medium
Sohail Fazal,Pakistan,Right-hand bat,Right-arm fast-medium
Sohail Khan,Pakistan,Right-hand bat,Right-arm fast-medium
Sohail Tanvir,Pakistan,Left-hand bat,Left-arm medium-fast
Somachandra de Silva,Sri Lanka,Right-hand bat,Leg-break googly
Sompal Kami,Nepal,Right-hand bat,Right-arm medium
Sonny Moloney,New Zealand,Right-hand bat,Leg-break
Sonny Ramadhin,Trinidad and Tobago,Right-hand bat,Off-break
Sorabji Colah,India,Right-hand bat,Right-arm medium
Soumya Sarkar,Bangladesh,Left-hand bat,Right-arm medium-fast
Sourav Ganguly,India,Left-hand bat,Right-arm medium
Sridharan Jeganathan,Sri Lanka,Right-hand bat,Slow left-arm
Sridharan Sriram,India,Left-hand bat,Slow left-arm
Srinivas Venkataraghavan,India,Right-hand bat,Off-break
Stan McCabe,Australia,Right-hand bat,Right-arm medium
Stan Nichols,England,Left-hand bat,Right-arm fast
Stan Worthington,England,Right-hand bat,Right-arm fast-medium
Stanley Christopherson,England,Right-hand bat,Right-arm fast
Stanley de Silva,Sri Lanka,Right-hand bat,Right-arm fast-medium
Stanley Jackson,England,Right-hand bat,Right-arm fast-medium
Stanley Snooke,South Africa,Right-hand bat,
Stefan Kelly,Bermuda,Right-hand bat,Right-arm fast-medium
Stefan Swanepoel,Namibia,Right-hand bat,Off-break
Stephanus Myburgh,South Africa,Left-hand bat,Off-break
Stephen Boock,New Zealand,Right-hand bat,Slow left-arm
Stephen Fleming,New Zealand,Left-hand bat,Right-arm slow-medium
Stephen Harmison,England,Right-hand bat,Right-arm fast
Stephen Parry,England,Right-hand bat,Slow left-arm
Stephen Peall,Zimbabwe,Left-hand bat,Off-break
Steve Camacho,Guyana,Right-hand bat,Leg-break googly
Steve Elworthy,Zimbabwe,Right-hand bat,Right-arm fast-medium
Steve James,England,Right-hand bat,Right-arm medium
